0-sad 1-disturbed 2-happy 3-excited,0-irresponsible 1-don't respect 2-Shows respect 3-Responsible,0-Unconfident 1-don't belives 2-belives 3-very Confident,0-selfish and unregular 1-Undisciplined 2-Good attitude 3-disciplined,0-lack of communication 1-bad softskills 2-good softskills 3-good communication,0-bad social acts 1-good social acts,imageslabels
3,0,0,1,1,0,a01-020u-s03-01.png
3,0,0,1,1,0,a01-020u-s04-00.png
3,1,1,1,1,1,a01-020u-s04-01.png
3,1,1,1,2,0,a01-020u-s04-02.png
1,1,1,1,1,1,a01-026u-s00-00.png
1,1,1,1,1,1,a01-026u-s00-01.png
1,1,1,1,1,1,a01-026u-s00-02.png
1,1,1,1,2,0,a01-026u-s00-03.png
3,1,1,1,2,0,a01-026u-s01-00.png
1,1,1,1,1,1,a01-026u-s01-01.png
1,0,0,1,1,0,a01-026u-s01-02.png
1,1,1,1,2,0,a01-026u-s01-03.png
3,2,2,1,2,0,a01-026u-s01-04.png
1,1,1,1,1,1,a01-026u-s02-00.png
3,1,1,1,2,0,a01-026u-s02-01.png
1,0,0,1,0,1,a01-026u-s02-02.png
1,1,1,1,1,1,a01-026u-s02-03.png
1,1,1,1,2,0,a01-030u-s00-00.png
3,1,1,1,1,1,a01-030u-s01-00.png
3,2,2,1,2,0,a01-030u-s01-01.png
3,1,1,1,1,1,a01-030u-s02-00.png
3,2,3,3,3,1,a01-030u-s03-00.png
1,1,1,1,2,0,a01-030u-s03-01.png
3,2,2,1,3,1,a01-030u-s04-00.png
1,1,1,1,2,0,a01-030u-s04-01.png
3,1,1,1,1,1,a01-030u-s05-00.png
1,1,1,1,2,0,a01-030u-s05-01.png
3,1,1,1,1,1,a01-030u-s06-00.png
3,1,1,1,1,1,a01-030u-s06-01.png
3,1,1,1,1,1,a01-030u-s06-02.png
3,0,0,1,1,0,a01-030u-s06-03.png
3,1,1,1,1,1,a01-043u-s00-00.png
3,1,2,3,2,0,a01-043u-s00-01.png
3,1,2,3,2,0,a01-043u-s01-00.png
1,1,1,1,2,0,a01-043u-s01-01.png
1,1,1,1,2,0,a01-043u-s01-02.png
3,0,1,3,1,0,a01-043u-s02-00.png
3,1,1,1,2,0,a01-043u-s02-01.png
3,1,1,1,2,0,a01-043u-s02-02.png
1,1,1,1,1,1,a01-043u-s03-00.png
3,1,1,1,1,1,a01-043u-s03-01.png
1,1,1,1,1,1,a01-043u-s04-00.png
1,0,0,1,0,1,a01-043u-s04-01.png
1,2,2,1,3,1,a01-043u-s04-02.png
3,1,1,1,2,0,a01-043u-s04-03.png
3,1,1,1,1,1,a01-049u-s00-00.png
1,2,2,1,3,1,a01-049u-s00-01.png
1,1,1,1,1,1,a01-049u-s00-02.png
1,2,2,1,2,0,a01-049u-s00-03.png
3,1,1,1,2,0,a01-049u-s00-04.png
1,1,1,1,2,0,a01-049u-s01-00.png
1,1,1,1,2,0,a01-049u-s01-01.png
1,0,0,1,1,0,a01-049u-s01-02.png
1,1,1,1,1,1,a01-049u-s01-03.png
1,1,1,1,1,1,a01-049u-s01-04.png
1,1,1,1,2,0,a01-049u-s02-00.png
3,0,0,1,1,0,a01-049u-s02-01.png
3,1,1,1,1,1,a01-049u-s02-02.png
1,1,2,3,1,1,a01-049x-s00-00.png
1,1,1,1,1,1,a01-049x-s00-01.png
1,1,1,1,1,1,a01-049x-s00-02.png
3,0,0,1,0,1,a01-049x-s00-03.png
3,1,2,3,2,0,a01-049x-s00-04.png
3,1,1,1,2,0,a01-049x-s01-00.png
1,2,2,1,3,1,a01-049x-s01-01.png
3,1,1,1,1,1,a01-049x-s01-02.png
1,0,1,3,1,0,a01-049x-s01-03.png
3,1,1,1,2,0,a01-049x-s02-00.png
1,1,1,1,1,1,a01-049x-s02-01.png
1,1,2,3,1,1,a01-049x-s02-02.png
3,0,0,1,0,1,a01-053u-s00-00.png
3,1,1,1,2,0,a01-053u-s00-01.png
1,1,1,1,2,0,a01-053u-s00-02.png
3,1,1,1,2,0,a01-053u-s01-00.png
1,1,1,1,2,0,a01-053u-s01-01.png
3,1,1,1,2,0,a01-053u-s01-02.png
1,1,2,3,1,1,a01-053u-s01-03.png
1,1,1,1,2,0,a01-053u-s02-00.png
3,1,1,1,2,0,a01-053u-s02-01.png
3,1,1,1,1,1,a01-053u-s02-02.png
3,1,1,1,2,0,a01-053u-s03-00.png
3,1,2,3,1,1,a01-053u-s03-01.png
3,1,1,1,1,1,a01-053u-s03-02.png
1,1,1,1,1,1,a01-058u-s00-00.png
1,1,1,1,1,1,a01-058u-s00-01.png
3,1,1,1,1,1,a01-058u-s00-02.png
3,3,3,3,2,0,a01-058u-s01-00.png
3,1,1,1,2,0,a01-058u-s01-01.png
3,1,1,1,1,1,a01-058u-s01-02.png
1,1,1,1,1,1,a01-058u-s02-00.png
1,1,2,3,1,1,a01-058u-s02-01.png
1,2,3,3,2,0,a01-058u-s03-00.png
3,0,0,1,0,1,a01-058u-s03-01.png
3,1,1,1,2,0,a01-058u-s03-02.png
1,1,1,1,1,1,a01-063u-s00-00.png
1,1,1,1,1,1,a01-063u-s00-01.png
3,1,1,1,2,0,a01-063u-s01-00.png
3,1,1,1,1,1,a01-063u-s01-01.png
3,1,1,1,1,1,a01-063u-s01-02.png
3,1,1,1,2,0,a01-063u-s01-03.png
3,1,1,1,1,1,a01-063u-s02-00.png
3,1,1,1,1,1,a01-063u-s02-01.png
3,1,1,1,1,1,a01-063u-s02-02.png
1,1,1,1,2,0,a01-063u-s03-00.png
1,1,1,1,1,1,a01-063u-s03-01.png
3,1,1,1,1,1,a01-063u-s03-02.png
1,1,1,1,2,0,a01-068u-s00-00.png
1,0,0,1,1,0,a01-068u-s00-01.png
3,1,1,1,2,0,a01-068u-s00-02.png
1,1,1,1,2,0,a01-068u-s01-00.png
1,1,1,1,1,1,a01-068u-s01-01.png
1,1,1,1,1,1,a01-068u-s01-02.png
3,1,1,1,1,1,a01-068u-s01-03.png
1,1,1,1,2,0,a01-068u-s02-00.png
3,1,1,1,2,0,a01-068u-s02-01.png
1,2,2,1,3,1,a01-068u-s02-02.png
1,2,2,1,3,1,a01-068u-s02-03.png
3,1,2,3,1,1,a01-068u-s02-04.png
3,0,0,1,0,1,a01-072u-s00-00.png
1,1,1,1,1,1,a01-072u-s00-01.png
3,1,1,1,2,0,a01-072u-s01-00.png
1,0,0,1,0,1,a01-072u-s01-01.png
1,1,1,1,1,1,a01-072u-s01-02.png
1,1,1,1,2,0,a01-072u-s02-00.png
1,0,0,1,0,1,a01-072u-s02-01.png
3,1,1,1,2,0,a01-072u-s02-02.png
3,1,1,1,1,1,a01-072u-s03-00.png
1,1,2,3,1,1,a01-072u-s03-01.png
3,1,1,1,1,1,a01-072u-s03-02.png
3,1,1,1,1,1,a01-072u-s03-03.png
1,1,1,1,1,1,a01-077u-s00-00.png
1,1,1,1,1,1,a01-077u-s00-01.png
1,1,1,1,1,1,a01-077u-s01-00.png
3,1,1,1,2,0,a01-077u-s02-00.png
1,1,1,1,2,0,a01-077u-s02-01.png
3,1,1,1,1,1,a01-077u-s02-02.png
1,1,1,1,1,1,a01-077u-s02-03.png
1,1,1,1,1,1,a01-077u-s03-00.png
3,0,0,1,0,1,a01-077u-s03-01.png
3,1,1,1,1,1,a01-077u-s03-02.png
1,1,1,1,1,1,a01-082u-s00-00.png
1,1,2,3,1,1,a01-082u-s00-01.png
1,1,1,1,2,0,a01-082u-s00-02.png
1,1,2,3,2,0,a01-082u-s01-00.png
1,2,2,1,3,1,a01-082u-s01-01.png
3,0,0,1,0,1,a01-082u-s01-02.png
1,1,1,1,1,1,a01-082u-s01-03.png
3,1,1,1,2,0,a01-082u-s02-00.png
3,1,1,1,1,1,a01-082u-s02-01.png
1,1,1,1,1,1,a01-082u-s02-02.png
1,1,1,1,1,1,a01-082u-s03-00.png
1,0,0,1,0,1,a01-082u-s03-01.png
1,0,0,1,0,1,a01-087u-s00-00.png
1,1,1,1,1,1,a01-087u-s00-01.png
3,1,2,3,2,0,a01-087u-s00-02.png
3,1,1,1,1,1,a01-087u-s01-00.png
3,1,1,1,2,0,a01-087u-s01-01.png
3,0,0,1,0,1,a01-087u-s01-02.png
3,1,1,1,1,1,a01-087u-s01-03.png
1,1,2,3,2,0,a01-087u-s02-00.png
1,1,1,1,1,1,a01-087u-s02-01.png
1,1,1,1,1,1,a01-087u-s02-02.png
3,1,1,1,1,1,a01-087u-s02-03.png
1,1,1,1,1,1,a01-091u-s00-00.png
1,0,0,1,0,1,a01-091u-s01-00.png
3,1,1,1,1,1,a01-091u-s01-01.png
1,1,1,1,1,1,a01-091u-s01-02.png
1,0,0,1,0,1,a01-091u-s01-03.png
1,2,3,3,3,1,a01-091u-s01-04.png
1,1,1,1,2,0,a01-091u-s02-00.png
1,2,2,1,3,1,a01-091u-s02-01.png
1,0,1,3,1,0,a01-091u-s02-02.png
1,1,1,1,2,0,a01-091u-s03-00.png
1,1,1,1,1,1,a01-091u-s03-01.png
1,0,1,3,1,0,a01-091u-s03-02.png
1,1,1,1,2,0,a01-096u-s00-00.png
1,1,2,3,2,0,a01-096u-s00-01.png
3,1,1,1,1,1,a01-096u-s01-00.png
1,1,1,1,1,1,a01-096u-s01-01.png
1,1,1,1,1,1,a01-096u-s02-00.png
1,1,2,3,1,1,a01-096u-s02-01.png
1,2,3,3,3,1,a01-096u-s02-02.png
3,1,1,1,1,1,a01-096u-s03-00.png
1,1,1,1,2,0,a01-096u-s03-01.png
1,1,1,1,1,1,a01-096u-s04-00.png
1,2,2,1,3,1,a01-096u-s04-01.png
1,2,2,1,3,1,a01-096u-s04-02.png
1,1,2,3,1,1,a01-096u-s04-03.png
1,1,2,3,2,0,a01-096u-s04-04.png
1,1,1,1,1,1,a01-102u-s00-00.png
1,0,0,1,0,1,a01-102u-s00-01.png
1,1,1,1,2,0,a01-102u-s00-02.png
1,1,2,3,1,1,a01-102u-s00-03.png
1,0,0,1,0,1,a01-102u-s01-00.png
3,1,2,3,2,0,a01-102u-s02-00.png
1,1,1,1,1,1,a01-102u-s02-01.png
1,1,1,1,1,1,a01-102u-s02-02.png
1,1,1,1,1,1,a01-102u-s02-03.png
1,2,3,3,2,0,a01-102u-s03-00.png
1,1,1,1,1,1,a01-102u-s03-01.png
1,1,1,1,1,1,a01-102u-s03-02.png
1,0,0,1,1,0,a01-107u-s00-00.png
1,1,1,1,1,1,a01-107u-s00-01.png
1,1,1,1,1,1,a01-107u-s00-02.png
1,1,1,1,1,1,a01-107u-s00-03.png
1,1,2,3,1,1,a01-107u-s01-00.png
3,1,2,3,2,0,a01-107u-s02-00.png
1,0,1,3,0,1,a01-107u-s02-01.png
1,1,2,3,2,0,a01-107u-s03-00.png
3,0,1,3,0,1,a01-107u-s03-01.png
1,1,2,3,2,0,a01-107u-s04-00.png
1,1,2,3,1,1,a01-107u-s04-01.png
3,1,1,1,1,1,a01-113u-s00-00.png
1,1,1,1,2,0,a01-113u-s00-01.png
1,1,1,1,1,1,a01-113u-s00-02.png
3,1,1,1,2,0,a01-113u-s01-00.png
1,0,1,3,0,1,a01-113u-s01-01.png
1,0,0,1,0,1,a01-113u-s01-02.png
1,1,2,3,1,1,a01-113u-s01-03.png
1,1,1,1,2,0,a01-113u-s02-00.png
3,0,0,1,0,1,a01-113u-s02-01.png
1,0,1,3,0,1,a01-113u-s02-02.png
1,1,1,1,2,0,a01-113u-s02-03.png
1,0,1,3,0,1,a01-113u-s02-04.png
1,1,1,1,1,1,a01-113u-s02-05.png
3,0,0,1,0,1,a01-117u-s00-00.png
3,2,2,1,3,1,a01-117u-s00-01.png
3,1,1,1,1,1,a01-117u-s00-02.png
3,0,0,1,1,0,a01-117u-s01-00.png
3,1,1,1,2,0,a01-117u-s01-01.png
1,1,2,3,1,1,a01-117u-s01-02.png
1,1,2,3,2,0,a01-117u-s02-00.png
3,1,1,1,1,1,a01-117u-s02-01.png
3,1,1,1,1,1,a01-117u-s02-02.png
3,0,1,3,1,0,a01-117u-s03-00.png
1,1,1,1,1,1,a01-117u-s03-01.png
1,1,1,1,1,1,a01-117u-s03-02.png
3,1,1,1,1,1,a01-117u-s03-03.png
1,1,2,3,1,1,a01-117u-s03-04.png
1,1,1,1,1,1,a01-122u-s00-00.png
1,0,1,3,0,1,a01-122u-s00-01.png
3,1,1,1,1,1,a01-122u-s00-02.png
1,0,1,3,1,0,a01-122u-s00-03.png
1,0,1,3,0,1,a01-122u-s01-00.png
1,1,1,1,1,1,a01-122u-s01-01.png
3,1,1,1,2,0,a01-122u-s01-02.png
3,1,2,3,2,0,a01-122u-s02-00.png
1,1,1,1,1,1,a01-122u-s02-01.png
1,1,2,3,2,0,a01-122u-s02-02.png
3,1,1,1,2,0,a01-122u-s03-00.png
1,0,1,3,1,0,a01-122u-s03-01.png
1,1,1,1,1,1,a01-122u-s04-00.png
1,1,1,1,1,1,a01-122u-s04-01.png
3,1,1,1,2,0,a01-122u-s04-02.png
3,0,1,3,0,1,a01-128u-s00-00.png
1,2,2,1,3,1,a01-128u-s00-01.png
3,1,1,1,1,1,a01-128u-s00-02.png
1,0,0,1,0,1,a01-128u-s01-00.png
1,1,1,1,2,0,a01-128u-s01-01.png
1,1,1,1,1,1,a01-128u-s01-02.png
1,1,2,3,2,0,a01-128u-s01-03.png
1,1,2,3,1,1,a01-128u-s02-00.png
1,0,1,3,0,1,a01-128u-s02-01.png
1,1,1,1,1,1,a01-128u-s02-02.png
1,0,0,1,0,1,a01-128u-s02-03.png
1,1,1,1,1,1,a01-128u-s02-04.png
3,1,1,1,2,0,a01-132u-s00-00.png
1,1,1,1,2,0,a01-132u-s00-01.png
3,1,2,3,2,0,a01-132u-s00-02.png
1,0,0,1,1,0,a01-132u-s01-00.png
3,1,2,3,2,0,a01-132u-s01-01.png
1,1,1,1,2,0,a01-132u-s01-02.png
3,1,1,1,2,0,a01-132u-s01-03.png
3,1,1,1,2,0,a01-132u-s02-00.png
3,2,2,1,3,1,a01-132u-s02-01.png
3,1,2,3,1,1,a01-132u-s02-02.png
1,1,1,1,1,1,a01-132u-s02-03.png
3,1,1,1,2,0,a01-132u-s02-04.png
3,1,1,1,2,0,a01-132x-s00-00.png
3,2,1,1,1,1,a01-132x-s00-01.png
1,1,2,3,1,1,a01-132x-s00-02.png
3,1,2,3,2,0,a01-132x-s01-00.png
3,2,1,1,1,1,a01-132x-s01-01.png
1,1,1,1,1,1,a01-132x-s01-02.png
1,1,1,1,1,1,a01-132x-s02-00.png
1,1,1,1,1,1,a01-132x-s02-01.png
3,1,2,3,1,1,a01-132x-s02-02.png
1,1,1,1,1,1,a01-132x-s02-03.png
1,1,1,3,1,0,a02-017-s00-00.png
3,2,1,1,2,0,a02-017-s00-01.png
1,2,2,3,2,0,a02-017-s00-02.png
1,2,2,3,2,0,a02-017-s00-03.png
3,2,2,3,2,0,a02-017-s01-00.png
1,2,2,3,2,0,a02-017-s01-01.png
1,2,1,1,2,0,a02-017-s01-02.png
1,2,2,3,2,0,a02-017-s01-03.png
3,2,1,1,2,0,a02-020-s00-00.png
1,2,2,3,2,0,a02-020-s00-01.png
3,2,2,3,2,0,a02-020-s00-02.png
1,2,1,1,2,0,a02-020-s01-00.png
3,2,2,3,2,0,a02-020-s01-01.png
3,2,2,3,2,0,a02-020-s01-02.png
1,2,2,3,2,0,a02-020-s02-00.png
1,2,2,3,2,0,a02-020-s02-01.png
3,2,2,3,2,0,a02-020-s02-02.png
3,2,2,3,2,0,a02-024-s00-00.png
1,2,2,3,2,0,a02-024-s00-01.png
3,2,2,3,2,0,a02-024-s00-02.png
1,2,2,3,1,1,a02-024-s00-03.png
1,2,2,3,2,0,a02-024-s01-00.png
1,2,2,3,2,0,a02-024-s01-01.png
1,2,2,3,2,0,a02-024-s01-02.png
3,2,1,1,2,0,a02-024-s01-03.png
1,2,2,3,2,0,a02-024-s01-04.png
3,2,2,3,2,0,a02-027-s00-00.png
1,2,2,3,2,0,a02-027-s00-01.png
3,2,2,3,2,0,a02-027-s00-02.png
3,2,2,3,2,0,a02-027-s01-00.png
1,2,2,3,2,0,a02-027-s01-01.png
3,2,2,3,2,0,a02-027-s01-02.png
1,2,2,3,2,0,a02-027-s02-00.png
1,2,2,3,1,1,a02-027-s02-01.png
3,2,2,3,2,0,a02-027-s03-00.png
1,2,2,3,2,0,a02-027-s03-01.png
1,2,2,3,2,0,a02-027-s03-02.png
1,2,2,3,2,0,a02-027-s03-03.png
3,2,2,3,2,0,a02-027-s03-04.png
1,2,2,3,2,0,a02-032-s00-00.png
1,2,2,3,2,0,a02-032-s00-01.png
1,2,2,3,2,0,a02-032-s01-00.png
1,2,2,3,2,0,a02-032-s01-01.png
1,3,3,3,3,1,a02-032-s01-02.png
1,2,2,3,2,0,a02-032-s02-00.png
1,2,2,3,1,1,a02-032-s02-01.png
1,3,3,3,2,0,a02-032-s03-00.png
1,2,2,3,2,0,a02-032-s03-01.png
1,2,2,3,2,0,a02-032-s03-02.png
3,1,1,1,1,1,a02-037-s00-00.png
3,1,1,1,2,0,a02-037-s00-01.png
1,1,1,1,2,0,a02-037-s00-02.png
1,1,1,1,2,0,a02-037-s00-03.png
1,1,1,1,2,0,a02-037-s01-00.png
3,1,1,1,2,0,a02-037-s02-00.png
3,1,1,1,2,0,a02-037-s02-01.png
1,1,1,1,2,0,a02-037-s02-02.png
3,1,1,1,2,0,a02-037-s02-03.png
1,1,1,1,2,0,a02-037-s03-00.png
3,1,1,1,2,0,a02-037-s03-01.png
1,1,1,1,1,1,a02-037-s03-02.png
3,1,1,1,1,1,a02-037-s03-03.png
3,1,1,1,2,0,a02-042-s00-00.png
3,1,1,1,2,0,a02-042-s00-01.png
1,1,1,1,2,0,a02-042-s01-00.png
3,1,1,1,1,1,a02-042-s01-01.png
3,1,1,1,2,0,a02-042-s01-02.png
1,1,1,1,1,1,a02-042-s01-03.png
1,1,1,1,1,1,a02-042-s01-04.png
1,1,1,1,2,0,a02-042-s02-00.png
1,1,1,1,2,0,a02-042-s02-01.png
1,1,1,1,2,0,a02-042-s02-02.png
3,1,1,1,1,1,a02-090-s00-00.png
1,1,1,1,2,0,a02-090-s00-01.png
1,1,1,1,1,1,a02-090-s00-02.png
3,1,1,1,2,0,a02-090-s01-00.png
3,1,1,1,1,1,a02-090-s01-01.png
3,1,1,1,1,1,a02-090-s01-02.png
3,1,1,1,1,1,a02-090-s01-03.png
1,1,1,1,1,1,a02-090-s01-04.png
3,1,1,1,1,1,a02-093-s00-00.png
3,1,1,1,2,0,a02-093-s01-00.png
3,1,1,1,1,1,a02-093-s01-01.png
3,1,1,1,2,0,a02-093-s01-02.png
1,0,0,1,1,0,a02-093-s02-00.png
3,1,1,1,2,0,a02-093-s02-01.png
3,1,1,1,2,0,a02-093-s02-02.png
3,1,1,1,2,0,a02-093-s02-03.png
3,1,1,1,2,0,a02-093-s03-00.png
3,1,1,1,1,1,a02-093-s03-01.png
1,1,1,1,2,0,a02-093-s03-02.png
1,1,1,1,1,1,a02-093-s03-03.png
3,1,1,1,2,0,a02-098-s00-00.png
1,2,2,1,2,0,a02-098-s00-01.png
3,1,1,1,1,1,a02-098-s01-00.png
3,1,1,1,1,1,a02-098-s01-01.png
1,1,1,1,1,1,a02-098-s01-02.png
3,1,1,1,2,0,a02-098-s01-03.png
1,1,1,1,2,0,a02-098-s02-00.png
1,2,2,1,2,0,a02-098-s02-01.png
3,1,1,1,1,1,a02-098-s02-02.png
3,2,2,1,2,0,a02-098-s02-03.png
3,1,1,1,2,0,a02-098-s02-04.png
1,2,2,3,1,1,a02-102-s00-00.png
3,2,2,3,1,1,a02-102-s00-01.png
3,2,1,1,1,1,a02-102-s00-02.png
1,2,1,1,1,1,a02-102-s00-03.png
1,2,2,3,2,0,a02-102-s00-04.png
1,2,2,3,2,0,a02-102-s01-00.png
3,2,2,3,2,0,a02-102-s01-01.png
1,1,1,3,1,0,a02-102-s02-00.png
3,2,2,3,1,1,a02-102-s02-01.png
3,2,1,1,1,1,a02-102-s02-02.png
3,2,2,3,1,1,a02-102-s02-03.png
3,2,2,3,1,1,a02-106-s00-00.png
1,2,2,3,1,1,a02-106-s00-01.png
3,2,2,3,1,1,a02-106-s00-02.png
1,2,2,3,2,0,a02-106-s00-03.png
1,2,2,3,1,1,a02-106-s01-00.png
1,2,2,3,1,1,a02-106-s02-00.png
1,2,2,3,1,1,a02-106-s02-01.png
3,2,2,3,1,1,a02-106-s02-02.png
1,2,2,3,2,0,a02-106-s03-00.png
3,2,2,3,1,1,a02-106-s03-01.png
1,2,2,3,1,1,a02-106-s03-02.png
1,2,2,3,1,1,a02-111-s00-00.png
3,2,2,3,1,1,a02-111-s00-01.png
3,2,2,3,1,1,a02-111-s02-00.png
3,2,2,3,1,1,a02-111-s02-01.png
1,2,2,3,2,0,a02-111-s02-02.png
3,2,2,3,2,0,a02-111-s02-03.png
1,2,2,3,2,0,a02-111-s03-00.png
1,2,2,3,1,1,a02-111-s03-01.png
1,2,1,1,1,1,a02-111-s03-02.png
1,2,2,3,2,0,a02-111-s03-03.png
1,2,2,3,1,1,a02-111-s03-04.png
3,2,1,1,2,0,a02-111-s03-05.png
1,2,2,3,1,1,a02-124-s00-00.png
1,3,3,3,3,1,a02-124-s00-01.png
1,2,2,3,1,1,a02-124-s00-02.png
1,2,2,3,1,1,a02-124-s00-03.png
3,2,2,3,1,1,a02-124-s00-04.png
1,2,2,3,1,1,a02-124-s00-05.png
3,2,2,3,1,1,a03-047-s00-00.png
3,3,3,3,3,1,a03-047-s00-01.png
3,2,2,3,1,1,a03-047-s00-02.png
1,2,2,3,1,1,a03-047-s00-03.png
1,3,3,3,2,0,a03-047-s01-00.png
1,2,2,3,1,1,a03-047-s01-01.png
3,2,2,3,1,1,a03-047-s01-02.png
3,2,2,3,1,1,a03-047-s01-03.png
1,2,2,3,1,1,a03-047-s01-04.png
1,2,2,3,1,1,a03-047-s01-05.png
3,2,1,1,2,0,a03-047-s01-06.png
1,3,3,3,3,1,a03-047-s01-07.png
3,2,2,1,3,1,a03-050-s00-00.png
3,1,1,1,1,1,a03-050-s00-01.png
3,0,0,1,0,1,a03-050-s00-02.png
3,1,1,1,1,1,a03-050-s00-03.png
3,0,0,1,0,1,a03-050-s01-00.png
1,2,2,1,3,1,a03-050-s01-01.png
3,1,1,1,1,1,a03-050-s02-00.png
1,1,2,3,1,1,a03-050-s02-01.png
1,0,0,1,0,1,a03-050-s02-02.png
1,1,1,1,1,1,a03-050-s02-03.png
3,1,1,1,1,1,a03-071-s00-00.png
1,1,1,1,2,0,a03-071-s00-01.png
1,1,1,1,1,1,a03-071-s00-02.png
1,0,0,1,0,1,a03-071-s00-03.png
1,1,1,1,1,1,a03-071-s00-04.png
1,1,1,1,1,1,a03-071-s00-05.png
1,1,1,1,1,1,a03-071-s00-06.png
1,0,1,3,0,1,a03-071-s00-07.png
1,1,1,1,2,0,a03-071-s00-08.png
1,1,1,1,1,1,a03-073-s00-00.png
3,1,1,1,1,1,a03-073-s00-01.png
1,1,2,3,2,0,a03-073-s00-02.png
1,0,0,1,0,1,a03-073-s01-00.png
3,0,0,1,0,1,a03-073-s01-01.png
1,1,2,3,1,1,a03-073-s01-02.png
1,1,1,1,1,1,a03-073-s01-03.png
3,1,2,3,1,1,a03-073-s01-04.png
1,0,0,1,0,1,a03-073-s02-00.png
3,1,1,1,1,1,a03-073-s02-01.png
1,1,1,1,1,1,a03-073-s02-02.png
3,1,1,1,2,0,a03-073-s02-03.png
1,0,0,1,0,1,a03-073-s02-04.png
3,1,1,1,2,0,a03-080-s00-00.png
1,1,1,1,2,0,a03-080-s00-01.png
1,1,1,1,2,0,a03-080-s00-02.png
3,0,0,1,0,1,a03-080-s00-03.png
1,1,0,1,0,1,a03-080-s00-04.png
3,0,1,3,1,0,a03-080-s00-05.png
1,1,2,3,1,1,a03-080-s01-00.png
3,1,1,1,1,1,a03-080-s01-01.png
3,1,1,1,1,1,a03-080-s01-02.png
1,1,2,3,1,1,a03-080-s01-03.png
3,0,0,1,0,1,a03-080-s01-04.png
3,0,1,3,0,1,a03-089-s00-00.png
